Niwot Loop - Niwot High School Trail,"(""['EASY"", 3.5, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('0', '50', '50', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",14,258,2.3,Point to Point,"5,299","5,044",2,8
Dry Creek Trail,"(""['EASY"", 3.6, 5, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'Lake"", 'Views', 'Wildflowers', ""Wildlife']""])","('20', '40', '20', '20', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",35,17,1.1,Point to Point,"5,313","5,278",1,2
Foothills Bench Trail,"(""['INTERMEDIATE"", 4.1, 1, ['CO', 'Front Range', ""Boulder']""])","(""['No Dogs'"", ["" 'River/Creek"", 'Views', ""Wildflowers']""])","('36', '45', '9', '9', '0', ['INTERMEDIATE', '9', '18', '73', '0', '0', '0', ']'])",108,100,2.0,Point to Point,"5,690","5,657",2,10
Foothills North Trail,"(""['INTERMEDIATE/DIFFICULT"", 2.7, 3, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'Views"", 'Wildflowers', ""Wildlife']""])","('0', '0', '67', '33', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '67', '0', '33', '0', ']'])",174,91,1.2,Point to Point,"5,724","5,550",4,16
Hogback Ridge Trail,"(""['INTERMEDIATE"", 3.5, 4, ['CO', 'Front Range', ""Boulder']""])","(""['No Dogs'"", ["" 'Views"", 'Wildflowers', ""Wildlife']""])","('0', '50', '50', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",675,636,1.8,Point to Point,"6,399","5,725",14,41
Dodd Reservoir Trail,"(""['EASY"", 'None', 0, ['CO', 'Front Range', ""Boulder']""])",['Unknown'],"('0', '0', '0', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",0,7,0.1,Point to Point,"5,135","5,129",1,2
Bobolink Trail,"(""['EASY"", 3.5, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'River/Creek"", 'Views', ""Wildflowers']""])","('0', '50', '50', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",22,0,0.5,Point to Point,"5,304","5,281",1,2
East Boulder Community Center Connector,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'River/Creek"", ""Wildflowers']""])","('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",5,10,0.9,Point to Point,"5,312","5,305",0,1
CR 83J,"(""['INTERMEDIATE"", 3.0, 1, ['CO', 'Front Range', ""Boulder']""])","(""['Unknown'"", ["" 'Fall Colors"", ""Views']""])","('0', '0', '100', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",50,436,2.0,Point to Point,"7,515","7,121",5,12
Dark Mountain Trail,"(""['INTERMEDIATE"", 4.0, 1, ['CO', 'Front Range', ""Rocky Mountain National Park']""])","(""['No Dogs'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('0', '100', '0', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",1,"1,268",1.7,Point to Point,"9,498","8,230",14,62
South Lateral Moraine Trail,"(""['EASY"", 3.0, 2, ['CO', 'Front Range', ""Rocky Mountain National Park']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('0', '0', '100', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",147,183,2.0,Point to Point,"8,161","8,044",3,11
Utility Area Access Trail,"(""['INTERMEDIATE"", 3.0, 2, ['CO', 'Front Range', ""Rocky Mountain National Park']""])","(""['No Dogs'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('0', '0', '100', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",657,258,2.1,Point to Point,"8,380","7,874",8,31
Bear Creek - Greenway Trail Connector,"(""['EASY"", 'None', 0, ['CO', 'Front Range', ""Colorado Springs']""])",['Unknown'],"('0', '0', '0', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",71,13,0.4,Point to Point,"6,003","5,942",4,11
Anne U. White Trail,"(""['EASY/INTERMEDIATE"", 4.5, 6, ['CO', 'Front Range', ""Boulder']""])",['Leashed'],"('67', '17', '17', '0', '0', ['EASY/INTERMEDIATE', '0', '75', '25', '0', '0', '0', ']'])",454,6,1.7,Point to Point,"6,520","6,072",5,18
Fern Meadow - Cragmoor Trail,"(""['INTERMEDIATE/DIFFICULT"", 3.5, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'River/Creek"", 'Views', ""Wildflowers']""])","('0', '50', '50', '0', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '50', '50', '0', '0', ']'])",850,16,1.6,Point to Point,"6,611","5,763",11,31
Skunk Creek,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'River/Creek']""])","('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",30,20,1.6,Point to Point,"5,283","5,255",1,2
Centennial Trail,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])",['Off-leash'],"('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",13,16,1.0,Point to Point,"5,271","5,260",1,2
Pearl Parkway Path,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])",['Off-leash'],"('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",3,46,1.1,Point to Point,"5,269","5,226",1,2
Wonderland Creek Path,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])",['Off-leash'],"('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",9,162,2.7,Point to Point,"5,381","5,223",1,4
Fourmile Creek Trail,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'River/Creek']""])","('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",3,123,1.7,Point to Point,"5,401","5,278",1,3
Elmer's Twomile Trail,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])",['Off-leash'],"('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",47,4,1.1,Point to Point,"5,341","5,296",1,2
Plymouth Creek Trail,"(""['INTERMEDIATE/DIFFICULT"", 3.9, 9, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'River/Creek"", 'Views', ""Wildlife']""])","('28', '39', '28', '6', '0', ['INTERMEDIATE/DIFFICULT', '0', '5', '38', '10', '48', '0', ']'])","1,095",65,2.4,Point to Point,"7,128","6,038",9,22
Red Mesa Loop,"(""['INTERMEDIATE"", 3.8, 9, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Views']""])","('11', '67', '11', '11', '0', ['INTERMEDIATE', '0', '0', '88', '13', '0', '0', ']'])",368,373,2.5,Loop,"7,425","7,085",6,18
Golden Eagle Trail,"(""['EASY/INTERMEDIATE"", 4.0, 8, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Unknown'"", ["" 'Views']""])","('25', '50', '25', '0', '0', ['EASY/INTERMEDIATE', '22', '22', '56', '0', '0', '0', ']'])",74,129,0.5,Point to Point,"7,106","6,991",7,19
Plymouth Mountain Trail,"(""['INTERMEDIATE/DIFFICULT"", 4.3, 0, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Views']""])","('33', '56', '11', '0', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '67', '0', '33', '0', ']'])",416,458,2.3,Point to Point,"7,132","6,771",7,26
Cheesman Park,"(""['EASY"", 4.1, 8, ['CO', 'Front Range', ""Denver']""])",['Unknown'],"('50', '38', '0', '0', '13', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",44,45,1.1,Loop,"5,364","5,335",2,3
FSR 379,"(""['INTERMEDIATE"", 3.0, 1, ['CO', 'Front Range', ""Colorado Springs']""])","(""['Leashed'"", ["" 'Fall Colors"", 'Spring', 'Views', 'Wildflowers', ""Wildlife']""])","('0', '0', '100', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])","1,688",689,8.1,Point to Point,"11,263","9,811",6,24
East Harvard Gulch Trail,"(""['EASY"", 3.0, 1, ['CO', 'Front Range', ""Denver']""])",['Unknown'],"('0', '0', '100', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",25,93,2.6,Point to Point,"5,386","5,318",1,3
Cottonwood Creek Trail,"(""['EASY/INTERMEDIATE"", 3.5, 4, ['CO', 'Front Range', ""Colorado Springs']""])","(""['Leashed'"", ["" 'River/Creek']""])","('25', '25', '25', '25', '0', ['EASY/INTERMEDIATE', '50', '25', '25', '0', '0', '0', ']'])",687,23,7.4,Point to Point,"6,923","6,259",2,9
Homestead Trail,"(""['INTERMEDIATE"", 3.0, 1, ['CO', 'Front Range', ""Colorado Springs']""])",['Leashed'],"('0', '0', '100', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",4,171,2.0,Point to Point,"6,789","6,622",2,4
Bear Creek Trail,"(""['EASY/INTERMEDIATE"", 4.3, 3, ['CO', 'Front Range', ""Denver']""])",['Leashed'],"('67', '0', '33', '0', '0', ['EASY/INTERMEDIATE', '67', '0', '33', '0', '0', '0', ']'])",806,277,14.9,Point to Point,"5,804","5,269",1,11
Washington Park Outer Loop,"(""['EASY"", 4.0, 2, ['CO', 'Front Range', ""Denver']""])","(""['Leashed'"", ["" 'Lake']""])","('50', '0', '50', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",33,33,2.6,Loop,"5,328","5,307",0,4
Monument Park Trail West,"(""['EASY"", 'None', 0, ['CO', 'Front Range', ""Colorado Springs']""])",['Unknown'],"('0', '0', '0', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",2,78,2.2,Point to Point,"6,068","5,991",1,2
Homesteader Trail,"(""['INTERMEDIATE"", 4.6, 8, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Birding"", ""Wildlife']""])","('75', '13', '13', '0', '0', ['INTERMEDIATE', '17', '17', '67', '0', '0', '0', ']'])",63,226,1.0,Point to Point,"7,190","6,971",5,12
Plymouth Mountain Lookout,"(""['INTERMEDIATE"", 3.9, 8, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Views']""])","('25', '38', '38', '0', '0', ['INTERMEDIATE', '10', '20', '50', '10', '10', '0', ']'])",145,16,0.4,Point to Point,"7,272","7,127",7,14
Meadowlark Trail,"(""['INTERMEDIATE"", 3.8, 7, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Views']""])","('18', '53', '24', '6', '0', ['INTERMEDIATE', '6', '6', '88', '0', '0', '0', ']'])",441,46,1.6,Point to Point,"6,536","6,112",6,19
Ralston Creek Trail,"(""['EASY/INTERMEDIATE"", 3.6, 8, ['CO', 'Front Range', ""Arvada']""])","(""['Unknown'"", ["" 'Birding"", 'Lake', 'River/Creek', 'Views', ""Wildlife']""])","('13', '50', '25', '13', '0', ['EASY/INTERMEDIATE', '71', '0', '29', '0', '0', '0', ']'])",777,203,14.5,Point to Point,"5,963","5,254",1,9
Greyrock Meadows Trail #947,"(""['INTERMEDIATE/DIFFICULT"", 4.3, 7, ['CO', 'Front Range', ""Fort Collins']""])","(""['Leashed'"", ["" 'Fall Colors"", 'River/Creek', 'Spring', 'Views', 'Wildflowers', ""Wildlife']""])","('43', '43', '14', '0', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '43', '0', '57', '0', ']'])","1,378",341,2.8,Point to Point,"7,041","5,911",11,39
Greyrock Trail #946,"(""['INTERMEDIATE/DIFFICULT"", 3.7, 5, ['CO', 'Front Range', ""Fort Collins']""])","(""['Leashed'"", ["" 'River/Creek"", ""Views']""])","('7', '67', '20', '7', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '27', '13', '60', '0', ']'])","1,912",4,3.1,Point to Point,"7,478","5,570",12,34
Donner Pass Trail #926,"(""['DIFFICULT"", 3.0, 2, ['CO', 'Front Range', ""Fort Collins']""])",['Unknown'],"('0', '0', '100', '0', '0', ['DIFFICULT', '0', '0', '0', '0', '100', '0', ']'])","1,930","2,497",9.0,Point to Point,"10,137","7,701",9,36
Old Flowers Road FR 152,"(""['INTERMEDIATE"", 4.0, 1, ['CO', 'Front Range', ""Fort Collins']""])","(""['Leashed'"", ["" 'Commonly Backpacked']""])","('0', '100', '0', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])","2,112","1,480",12.3,Point to Point,"8,626","7,339",6,24
Berkeley Lake Park Path,"(""['EASY"", 3.0, 1, ['CO', 'Front Range', ""Arvada']""])",['Unknown'],"('0', '0', '100', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",0,8,0.2,Point to Point,"5,363","5,355",1,1
Standley Lake South Shore Outer Loop,"(""['EASY/INTERMEDIATE"", 3.2, 5, ['CO', 'Front Range', ""Arvada']""])",['Unknown'],"('0', '20', '80', '0', '0', ['EASY/INTERMEDIATE', '20', '20', '60', '0', '0', '0', ']'])",183,187,3.7,Loop,"5,605","5,507",2,15
Rocky Mountain Greenway Trail,"(""['EASY"", 3.0, 3, ['CO', 'Front Range', ""Arvada']""])",['Unknown'],"('33', '0', '0', '67', '0', ['EASY', '67', '33', '0', '0', '0', '0', ']'])",362,154,6.0,Point to Point,"5,743","5,403",2,11
Rattlesnake Gulch Trail,"(""['INTERMEDIATE/DIFFICULT"", 3.5, 2, ['CO', 'Front Range', 'Ken Caryl', ""Deer Creek Canyon Park']""])","(""['Leashed'"", ["" 'Fall Colors"", ""Views']""])","('0', '50', '50', '0', '0', ['INTERMEDIATE/DIFFICULT', '0', '50', '0', '0', '50', '0', ']'])",96,209,0.9,Point to Point,"6,100","5,891",6,15
